participant_id,scene_id,session_uuid,mean_AD_KDMA_Sim,mean_AD_KDMA_Text,mean_PropTrust,mean_ST_KDMA_Sim,mean_ST_KDMA_Text,mean_percent_accurate_tagging,mean_patient_count,mean_percent_injury_correctly_treated,mean_pulse_taken_count,mean_stills_value,mean_teleport_count,mean_time_to_hemorrhage_control_per_patient,mean_triage_time,sum_action_count,sum_assessment_count,sum_tag_application_count,sum_treatment_count,sum_treated_expectant_count,encounter_layout
2024217,0,1995e7ef-ef02-4fc1-b1ab-f137dbf69d48,0.566666667,0.466666667,4.0,0.466666667,0.430107097,0.0,5.0,0.0,2.0,1.0,87.0,0.0,746527.0,12550830.0,12939.0,0.0,0.0,0.0,Urban
2024217,0,6db9446c-2cd4-41b4-be8d-be5ccbbc6e05,0.566666667,0.46666666700000003,4.0,0.46666666700000003,0.430107097,0.0,4.0,0.0,0.0,1.0,63.0,0.0,580215.0,1818432.0,0.0,0.0,0.0,0.0,Desert
2024218,0,37a554ee-fc49-4730-819c-2d97727bb0b7,0.316666667,0.4666666669999999,4.0,0.581410256,0.334622155,42.5,4.0,50.0,14.0,1.0,68.0,22178.333333333332,855700.0,8564787.0,183931.0,23991.0,71973.0,7997.0,Desert
2024218,0,45365e18-6e38-48e7-b4a2-6b448b209034,0.316666667,0.466666667,4.0,0.581410256,0.334622155,42.5,5.0,62.5,23.0,1.0,75.0,4727.25,888941.0,3217144.0,79240.0,11320.0,31696.0,2264.0,Urban
2024219,0,21f8cb5d-f5ac-4a01-9287-43df5f6751a1,0.5,0.516666667,4.333333333,0.538461538,0.319749969,12.5,4.0,50.0,4.0,1.0,109.0,2468.5,754460.0,2268504.0,10584.0,3528.0,15876.0,1764.0,Submarine
2024219,0,5d94f0d4-a1b1-4d18-8a62-591e196006a9,0.5,0.516666667,4.333333333,0.538461538,0.319749969,12.5,4.0,25.0,7.0,0.0,71.0,2216.0,580131.0,1143544.0,25640.0,1282.0,5128.0,1282.0,Jungle
2024219,1,21f8cb5d-f5ac-4a01-9287-43df5f6751a1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2024219,1,5d94f0d4-a1b1-4d18-8a62-591e196006a9,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2024220,0,287389c4-4c48-4483-87c0-6b363b57bde2,0.466666667,0.516666667,3.333333333,0.561538462,0.380939786,12.5,4.0,8.333333333333334,1.0,1.0,27.0,0.0,581884.0,1882715.0,13657.0,0.0,9755.0,1951.0,Jungle
2024220,0,50b15e40-9860-4574-8ab8-0bd960fe27de,0.466666667,0.516666667,3.333333333,0.561538462,0.380939786,12.5,4.0,33.333333333333336,4.0,0.0,80.0,22927.0,564419.0,4209738.0,19344.0,9672.0,26598.0,0.0,Submarine
2024220,1,50b15e40-9860-4574-8ab8-0bd960fe27de,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2024221,0,6666ee6b-863b-49d1-8097-97e6aa4fb39d,0.241666667,0.416666667,3.666666667,0.532692308,0.431511236,12.5,5.0,0.0,0.0,1.0,32.0,0.0,568196.0,2379806.0,0.0,0.0,0.0,0.0,Urban
2024221,0,6a76af00-56ef-408f-a445-6f5168e090a8,0.241666667,0.416666667,3.666666667,0.532692308,0.431511236,12.5,4.0,27.272727272727273,5.0,1.0,73.0,8587.0,958128.0,2468066.0,16648.0,2081.0,10405.0,2081.0,Desert
2024221,1,6666ee6b-863b-49d1-8097-97e6aa4fb39d,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2024222,0,4de6e23f-3c00-49d9-bbac-3a9febab4311,0.533333333,0.366666667,4.0,0.529806799,0.529864379,42.5,5.0,33.333333333333336,11.0,1.0,59.0,32982.75,1084278.0,2737488.0,43656.0,12840.0,30816.0,0.0,Urban
2024222,0,c99de80f-15cc-45cb-aa64-5af0f2f118ca,0.533333333,0.366666667,4.0,0.529806799,0.529864379,42.5,4.0,41.666666666666664,7.0,0.0,55.0,7005.666666666667,833604.0,2661632.0,28416.0,7104.0,16576.0,2368.0,Desert
