session_uuid,scene_id,swaps_to_perfect_order_count
48e95cfe-1dd7-4085-9662-c77827980bdd,0,1
496ff2bf-605d-4654-b945-dc2b0aaea626,0,1
4a504e80-0232-4978-9a63-7e503e86c5e3,0,0
4bac0722-bc76-4418-88f0-ccbbba469c5a,0,2
4ca5febe-0a4b-4c77-bd3e-6632ae760df1,0,4
4ce8ee9f-45ea-42a8-86df-0038c777f040,0,4
4f66ee10-3104-44ec-8d31-9e1c2b33f36d,0,2
50e4351a-3afd-43ff-a65f-f84eaab0d0fd,0,0
51f8d40c-9550-4ef1-a71c-e030c0a08f29,0,1
524d5418-62f4-4834-9f1e-47202c30e667,0,0
52e2653e-2230-4d8a-929b-e2a12dcb56c4,0,4
55dcba1c-2bfc-4028-984d-5c288c8b7265,0,1
56c0b2ce-d12c-440a-bcae-3d6163d5e494,0,0
578a0cfc-a256-4002-ba75-4a61d700204e,0,5
590bdfe9-828c-4367-a783-75ec19d7b7d0,0,2
5aca0157-02d0-4409-a4fe-f64d03fd34a1,0,1
5c5c9f6e-555c-4ae2-a0c0-7e5eb84a92dd,0,3
5c720560-85f5-4bb1-9aa5-41207f6259a2,0,4
5c8b0274-379c-40ca-b6ff-b846f9e14ad5,0,3
5d916938-e0d3-47ee-8f55-12bf12283ee1,0,3
5dce5abe-7ded-46e7-8d07-b2e2cd76ef55,0,2
5de8dcc6-c6ab-43e5-9103-85c8d069cf4b,0,1
5e1e1072-2244-4473-996d-e2cb337b805b,0,2
5ebf3067-e1a6-4711-810d-60095452c24c,0,0
5ffacacb-a874-43d3-a399-3cb959505047,0,1
6037b1d3-eff2-4317-9372-768236fbae91,0,0
60d2041e-9b37-4c13-a73d-906e6ecebd01,0,2
60d42fe6-f30b-4eab-ba01-644dde714e4d,0,2
61dba1bb-2326-48f9-968f-9e0e4c867eee,0,2
61dd1584-76e8-4536-9aeb-15276e646ff4,0,1
62c1d3c9-f9ab-4475-81e4-ccbbaa166c9e,0,0
634a2340-066c-4993-a7be-a7ff0481b6b0,0,0
638950ca-b008-4b14-bd07-933e16e7d8e0,0,3
63b272d4-ae7c-4cc3-8e5b-d474b09a44c2,0,3
66cc58aa-8f53-4d06-b129-879fb3b08239,0,3
6774cf2a-7728-4387-8788-934246a1e906,0,0
677d1c18-f292-4bcb-924d-52f5e762533f,0,4
