session_uuid,scene_id,last_still_engagement,actual_engagement_distance,measure_of_right_ordering,adherence_to_salt,has_patient_in_agony,patient_count,cluster_label,participant_id,first_engagement,first_treatment,injury_correctly_treated_count,injury_not_treated_count,injury_treatments_count,injury_wrongly_treated_count,is_scene_aborted,last_engagement,percent_hemorrhage_controlled,pulse_taken_count,scene_end,scene_start,stills_value,teleport_count,time_to_hemorrhage_control_per_patient,time_to_last_hemorrhage_controlled,total_actions_count,triage_time,voice_capture_count,walk_command_count,walk_value,walkers_value,wave_command_count,wave_value,scene_type
70eef02d-d2d0-458e-a8bb-f6511bf47a0c,0,747787.0,106.91685065197574,0.13368847323604804,False,True,12,9,2024223,110204.0,207971.0,8,0,11,0,False,850141.0,0.0,19,939951,628,0,16,0.0,22872,2166,939323,11,0,0,0,0,0,Triage
80f79d45-22fd-479d-b6e2-c62b5778e073,0,781082.0,33.74293390086109,-0.007650021947509522,False,True,11,7,2024204,173713.0,299384.0,5,3,7,0,True,1018824.0,0.0,13,1036377,720,0,84,0.0,176034,2507,1035657,57,2,0,0,3,0,Triage
80f79d45-22fd-479d-b6e2-c62b5778e073,1,,0.0,,False,False,1,2,2024204,1054723.0,,0,0,0,0,True,1054723.0,,0,1060773,1054723,1,1,,0,2,6050,0,0,0,1,0,0,Triage
8839e3b8-be5e-4878-8aaf-26c656ae2270,0,784776.0,71.90191405310613,0.20500143631972212,False,True,11,0,2024207,34345.0,183722.0,6,5,10,1,False,894934.0,100.0,40,899477,678,0,26,65651.0,745363,1060,898799,64,1,0,0,2,0,Triage
922ad146-241a-4ea6-8ff1-413d7e0d16ec,0,797264.0,110.87573031337116,-0.09061680954771889,False,True,15,9,2024202,273798.0,286716.0,10,10,10,1,True,1051892.0,75.0,50,1077568,741,0,61,10631.75,861888,3892,1076827,5,0,0,0,0,0,Triage
922ad146-241a-4ea6-8ff1-413d7e0d16ec,1,,0.0,,False,False,0,2,2024202,,,0,0,0,0,True,,,0,1096262,1090838,1,1,,0,1,5424,0,0,0,1,0,0,Orientation
a7ce6f7b-6466-4281-9496-92b640d9d04b,0,555380.0,53.747757462236315,0.984299976077849,False,True,11,0,2024215,62191.0,84341.0,13,1,25,1,False,744287.0,100.0,19,748503,646,0,53,41735.5,617502,2832,747857,52,0,0,0,0,0,Triage
a7ce6f7b-6466-4281-9496-92b640d9d04b,1,,0.0,,False,False,0,2,2024215,,,0,0,0,0,True,,,0,765417,760238,1,3,,0,3,5179,0,0,0,1,0,0,Orientation
acf74a81-a534-44c7-9cb1-67ec381b5ee0,0,979998.0,46.981948161743155,0.9981195369456988,False,True,11,0,2024203,267784.0,382512.0,14,7,19,0,True,1371254.0,100.0,48,1376172,757,0,76,19130.5,1072078,3435,1375415,2,1,0,0,0,0,Triage
acf74a81-a534-44c7-9cb1-67ec381b5ee0,1,,0.0,,False,False,0,2,2024203,,,0,0,0,0,True,,,0,1398257,1398257,1,1,,0,1,0,0,0,0,1,0,0,Orientation
aecfcd56-2262-40a8-9bb8-088f57d46f3f,0,891136.0,155.7651233245765,-0.11079692243214101,False,True,15,4,2024206,156212.0,235783.0,10,9,9,0,True,1027615.0,75.0,32,1070887,716,0,42,81852.25,1048425,1486,1070171,58,0,0,0,9,0,Triage
aecfcd56-2262-40a8-9bb8-088f57d46f3f,1,,0.0,,False,False,0,2,2024206,,,0,0,0,0,True,,,0,1082159,1082159,1,0,,0,1,0,0,0,0,1,0,0,Orientation
b5989edc-8348-4b84-b649-87fc4f1cca53,0,740370.0,146.6597418678974,-0.07132308382735952,False,True,15,4,2024209,152087.0,175333.0,8,5,10,1,False,780351.0,75.0,22,848033,755,0,74,10815.25,658055,1271,847278,90,1,0,0,0,0,Triage
bccb0095-5efd-4c5c-ad58-8b8624f9ab56,0,615049.0,104.8848698813577,-0.12388454742803523,False,True,14,9,2024201,161051.0,176615.0,10,6,9,0,False,615726.0,100.0,7,677821,677,0,38,10188.5,587997,1909,677144,56,0,0,0,0,0,Triage
c6d3a90f-68c0-4948-bd96-537e80973605,0,562241.0,59.31015071822006,1.0,True,True,11,0,2024216,240385.0,247796.0,14,1,24,0,False,810288.0,100.0,32,886260,709,1,77,25358.5,690563,2621,885551,31,2,0,1,3,0,Triage
c6d3a90f-68c0-4948-bd96-537e80973605,1,,0.0,,False,False,0,2,2024216,,,0,0,0,0,True,,,0,896947,896863,1,2,,0,2,84,0,0,0,1,0,0,Orientation
c99de80f-15cc-45cb-aa64-5af0f2f118ca,0,758706.0,150.50511204937374,-0.12494023422418588,False,True,15,4,2024222,127236.0,289962.0,11,2,12,0,False,817368.0,75.0,18,857004,743,0,55,67885.5,826592,1132,856261,41,1,0,0,4,0,Triage
c99de80f-15cc-45cb-aa64-5af0f2f118ca,1,,0.0,,False,False,0,2,2024222,,,0,0,0,0,True,,,0,866555,866555,1,0,,0,1,0,0,0,0,1,0,0,Orientation
c9a8dc60-f61d-44bb-bcb5-6e2466f3c9a0,0,813513.0,40.59414915368161,1.0,True,True,10,0,2024223,85082.0,119855.0,15,1,20,0,False,955024.0,100.0,15,1011040,644,1,42,47111.5,981308,2964,1010396,15,0,0,1,0,0,Triage
cbbf410f-4657-428e-9616-8a777cc4704d,0,355809.0,21.30641169637643,1.0,True,True,10,10,2024204,113388.0,130969.0,4,2,3,0,False,543948.0,0.0,13,618347,736,1,38,0.0,45818,1101,617611,14,0,0,1,2,0,Triage
d13091cc-98e4-4aba-8d02-7eca8bd1a30c,0,358343.0,67.4240575179297,-0.06523694370625699,False,True,12,0,2024216,54621.0,61651.0,12,2,12,0,False,579562.0,0.0,31,640703,722,0,65,110854.0,407803,1218,639981,13,0,0,0,0,0,Triage
d2aaf0ef-a32f-4255-b3f5-56df927ae0b4,0,722731.0,188.28289155722095,-0.061109245221899755,False,True,16,5,2024214,83177.0,107958.0,10,1,13,0,True,991209.0,75.0,56,1091916,738,0,92,20403.833333333332,1025452,2112,1091178,6,0,0,0,4,0,Triage
ddfb4e6e-f7c3-4321-89df-b6208f336318,0,,0.0,,False,False,0,2,2024205,,,0,0,0,0,False,,,0,16165,668,1,0,,0,0,15497,1,0,0,1,0,0,Orientation
ddfb4e6e-f7c3-4321-89df-b6208f336318,1,,22.566193589285184,1.0,True,True,14,10,2024205,136693.0,236588.0,1,0,1,0,True,466715.0,0.0,8,505331,16254,1,49,0.0,10975,691,489077,74,0,0,1,0,0,Triage
df2fcf88-874b-4cf9-9707-3fa0b30c348f,0,695092.0,143.41121481761292,-0.11438544536079975,False,True,15,4,2024205,114345.0,127549.0,9,4,10,0,False,779469.0,50.0,15,839987,664,0,68,24894.166666666668,822436,1451,839323,78,0,0,0,0,0,Triage
dfec642f-45c9-4813-91d8-3445d5ca763c,0,497323.0,158.02450069152135,-0.06761224605086014,False,True,16,4,2024213,67180.0,76573.0,15,0,23,0,False,895769.0,100.0,12,972035,738,0,126,14341.666666666666,817690,2160,971297,1,0,0,0,0,0,Triage
fc676b00-9559-467d-adbb-696dd6e9fb08,0,833687.0,154.11725812145056,-0.061731226455983945,False,True,15,4,2024213,208151.0,277454.0,8,3,9,1,True,1071354.0,100.0,19,1084278,710,0,113,10404.0,950143,1451,1083568,37,4,0,0,1,0,Triage
