session_uuid,scene_id,patient_id,is_scene_aborted,scene_type,is_a_one_triage_file,patient_count,last_tag,max_salt,predicted_tag,is_tag_correct
d06f4054-097a-46ef-a88e-69665bf42389,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1df10bfd-0f85-42ff-a873-36dfe05df77b,2,Bob_0 Root,False,Triage,False,1,gray,DEAD,black,False
18bfbc11-3c60-4c89-94cc-ac8fea028318,0,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
cf953248-e6cf-4544-95ce-4843d0f56f10,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1e7d274d-f393-4888-9f28-4de53b0260e3,1,Bob_0 Root,False,Triage,False,1,,DEAD,black,False
ce41d7c3-9e24-4840-865f-3b7f7cd828f7,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1e7d274d-f393-4888-9f28-4de53b0260e3,2,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
ce1350af-79e6-475b-9c07-802b5ff5ca0a,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
cde3b77f-2e08-4b86-9081-d0faa979cbc8,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1fb559e8-15c6-463a-bda8-79ca0bfc330f,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
cdc7b0ec-a883-4705-9b55-b618d429808e,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
ccfca520-5965-40d9-9a19-f0a19d208fdc,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
cf714cd2-2824-4ad2-8d98-3199b1df0bdb,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1507bc88-8d4c-4c1c-9291-210f790c96e3,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d2e4a5df-fd46-47d5-923f-089f1ee4e1ec,0,Bob_0 Root,False,Triage,True,1,,DEAD,black,False
d347b967-5e20-4527-95dd-3a0fdf73af1d,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1563e213-aaa4-4b79-84a1-8f917ea9f7a9,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d8e74818-ecc1-4f24-87aa-5dd9facfe20f,1,Lily_7 Root,False,Triage,True,1,black,DEAD,black,True
158e6365-673b-4030-8b36-6704be5996a2,0,Bob_0 Root,False,Triage,True,1,,DEAD,black,False
d8c6bf18-14e3-45f2-bfa1-9a904cb4b82b,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
15bb887b-b5ae-49a5-8a23-f2ac7808f11f,0,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
d81f6dfd-3151-415f-a354-541240e7fbae,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d66b46ee-9057-43d6-8108-179b83820a37,1,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
16359508-f91b-4f85-baeb-dade7d574a61,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1813599d-cfde-45f0-8555-428b57478ebb,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d605640c-fde5-412f-8d33-b9b2744172ab,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d58c859d-d4b5-4213-88d7-df5c168fa646,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d4f8b28e-a0a3-4969-a156-5bf86e4794ba,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
1663640c-5a60-4fa6-8bf4-249f41a693a5,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d45ac4ce-be32-424b-a50f-fa8007af4fed,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
d433b532-d35b-4fc6-b9fd-ed2e18e57c28,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
17962d45-8e90-4b50-86e7-77451042aac8,0,Lily_7 Root,False,Triage,True,1,black,DEAD,black,True
d3ad6b20-821b-4821-a289-fe4eab2c940b,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
17b80e0f-9afe-497f-b3a3-0549c14a4ba9,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
16373b36-886a-4d0d-9015-474d29d139cc,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
e77c15e0-d0de-413d-a471-20a285e81387,0,Lily_7 Root,False,Triage,False,1,black,DEAD,black,True
31d9c549-d016-4e44-8262-1d51b7adde29,0,Lily_7 Root,False,Triage,True,1,black,DEAD,black,True
321db911-0ed9-421a-9219-bb02038ac660,0,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
50e4351a-3afd-43ff-a65f-f84eaab0d0fd,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
724fdf45-3165-43b8-b9ca-dc07102d2886,10,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
724fdf45-3165-43b8-b9ca-dc07102d2886,8,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
51f8d40c-9550-4ef1-a71c-e030c0a08f29,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
724fdf45-3165-43b8-b9ca-dc07102d2886,6,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
524d5418-62f4-4834-9f1e-47202c30e667,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
724fdf45-3165-43b8-b9ca-dc07102d2886,4,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
724fdf45-3165-43b8-b9ca-dc07102d2886,1,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
724fdf45-3165-43b8-b9ca-dc07102d2886,12,Bob_0 Root,False,Triage,False,1,black,DEAD,black,True
5254234d-5334-44d0-a97b-d0e098c129a9,1,Bob_0 Root,False,Triage,True,1,,DEAD,black,False
71a7d2ce-2dea-4bec-8348-028e74fcd092,0,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
52e2653e-2230-4d8a-929b-e2a12dcb56c4,1,Bob_0 Root,False,Triage,True,1,black,DEAD,black,True
