participant_id,scene_id,session_uuid,mean_AD_KDMA_Sim,mean_AD_KDMA_Text,mean_PropTrust,mean_ST_KDMA_Sim,mean_ST_KDMA_Text,mean_YrsMilExp,mean_actual_engagement_distance,mean_engaged_patient00_engagement_start,mean_engaged_patient01_engagement_start,mean_engaged_patient02_engagement_start,mean_engaged_patient03_engagement_start,mean_engaged_patient04_engagement_start,mean_first_engagement,mean_first_treatment,mean_injury_correctly_treated_count,mean_injury_not_treated_count,mean_injury_wrongly_treated_count,mean_last_engagement,mean_last_still_engagement,mean_measure_of_right_ordering,mean_patient_count,mean_percent_hemorrhage_controlled,mean_prioritize_high_injury_severity_patients,mean_pulse_taken_count,mean_stills_value,mean_teleport_count,mean_time_to_hemorrhage_control_per_patient,mean_time_to_last_hemorrhage_controlled,mean_total_actions_count,mean_triage_time,mean_unengaged_patient00_engagement_start,mean_unengaged_patient01_engagement_start,mean_unengaged_patient02_engagement_start,mean_unengaged_patient03_engagement_start,mean_unengaged_patient04_engagement_start,mean_voice_capture_count,mean_walk_command_count,mean_walk_value,mean_walkers_value,mean_wave_command_count,mean_wave_value,engaged_patient00_injury_severity,engaged_patient00_location_tuple,engaged_patient00_patient_id,engaged_patient00_patient_sort,engaged_patient01_injury_severity,engaged_patient01_location_tuple,engaged_patient01_patient_id,engaged_patient01_patient_sort,engaged_patient02_injury_severity,engaged_patient02_location_tuple,engaged_patient02_patient_id,engaged_patient02_patient_sort,engaged_patient03_injury_severity,engaged_patient03_location_tuple,engaged_patient03_patient_id,engaged_patient03_patient_sort,engaged_patient04_injury_severity,engaged_patient04_location_tuple,engaged_patient04_patient_id,engaged_patient04_patient_sort,unengaged_patient00_injury_severity,unengaged_patient00_location_tuple,unengaged_patient00_patient_id,unengaged_patient00_patient_sort,unengaged_patient01_injury_severity,unengaged_patient01_location_tuple,unengaged_patient01_patient_id,unengaged_patient01_patient_sort,unengaged_patient02_injury_severity,unengaged_patient02_location_tuple,unengaged_patient02_patient_id,unengaged_patient02_patient_sort,unengaged_patient03_injury_severity,unengaged_patient03_location_tuple,unengaged_patient03_patient_id,unengaged_patient03_patient_sort,unengaged_patient04_injury_severity,unengaged_patient04_location_tuple,unengaged_patient04_patient_id,unengaged_patient04_patient_sort,medical_role,encounter_layout
2024207,0,04f80090-9e61-431d-8473-dccb75fed04d,0.416666667,0.316666667,4.0,0.49230769199999996,0.321641352,0.0,17.318739958745,651632.0,735733.0,830206.0,889749.0,,636210.0,651632.0,17.0,1.0,2.0,938448.0,714842.0,0.6501640504434033,4.0,100.0,0.0,10.0,0.0,62.0,4862.0,878330.0,2138.0,922257.0,,,,,,39.0,0.0,0.0,0.0,1.0,1.0,high,"(-0.1, -5.5)",Navy Soldier 2 Male Root,waver,high,"(0.1, 0.5)",Navy Soldier 1 Male Root,still,high,"(-5.3, -0.1)",Navy Soldier 4 Female Root,waver,medium,"(-0.5, 3.3)",Navy Soldier 3 Male Root,waver,,,,,,,,,,,,,,,,,,,,,,,,,Medical student,Submarine
2024207,0,8839e3b8-be5e-4878-8aaf-26c656ae2270,0.41666666700000005,0.316666667,4.0,0.492307692,0.321641352,0.0,6.382410835392675,626529.0,726178.0,808477.0,,,593183.0,726178.0,3.0,8.0,2.0,894934.0,790995.0,-0.6500765978719565,4.0,100.0,0.0,23.0,0.0,26.0,40465.0,728559.0,1044.0,881995.0,-99999.0,,,,,63.0,1.0,1.0,0.0,2.0,1.0,high,"(0.0, 0.0)",Open World Marine 4 Male Root,still,medium,"(2.5, -1.4)",Open World Marine 2 Female Root,waver,high,"(1.6, 2.0)",Open World Marine 1 Male Root,still,,,,,,,,,high,None,Open World Marine 3 Male Root,waver,,,,,,,,,,,,,,,,,Medical student,Jungle
2024208,0,0bc62b93-ac4d-40ef-bdfe-1d7badb24f70,0.466666667,0.316666667,4.333333333,0.553846154,0.325920037,0.0,19.907140764888446,790701.0,821617.0,885685.0,970326.0,,777407.0,790701.0,11.0,7.0,2.0,1005250.0,656753.0,1.0,4.0,33.333333333333336,0.0,15.0,1.0,168.0,17320.0,751737.0,4423.0,911229.0,,,,,,158.0,3.0,1.0,1.0,5.0,1.0,high,"(-0.4, -0.3)",Navy Soldier 1 Male Root,still,medium,"(-0.5, 3.3)",Navy Soldier 3 Male Root,waver,high,"(-0.1, -5.5)",Navy Soldier 2 Male Root,waver,high,"(-5.3, -0.1)",Navy Soldier 4 Female Root,waver,,,,,,,,,,,,,,,,,,,,,,,,,Medical student,Submarine
2024208,0,67dc0230-511d-41ac-ae9b-850900ab9e6a,0.4666666669999999,0.316666667,4.333333333,0.553846154,0.325920037,0.0,10.036368565225125,408136.0,467112.0,516714.0,583914.0,,394554.0,408136.0,7.0,6.0,2.0,538083.0,569718.0,-0.20917113403497156,4.0,100.0,0.0,20.0,0.0,82.0,11054.0,452916.0,942.0,614012.0,,,,,,90.0,0.0,0.0,0.0,3.0,1.0,high,"(0.4, 0.4)",Open World Marine 4 Male Root,still,medium,"(2.0, -1.2)",Open World Marine 2 Female Root,waver,high,"(0.6, -2.9)",Open World Marine 3 Male Root,waver,high,"(2.6, 2.3)",Open World Marine 1 Male Root,still,,,,,,,,,,,,,,,,,,,,,,,,,Medical student,Jungle
2024208,1,67dc0230-511d-41ac-ae9b-850900ab9e6a,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024209,0,385032e9-9801-4dcf-a841-b3703a0d9acd,0.316666667,0.366666667,3.6666666670000003,0.533333333,0.46186382499999995,3.0,37.424354845218254,977805.0,1022239.0,1166150.0,1246366.0,1344729.0,973012.0,1022239.0,8.0,6.0,4.0,1468340.0,769844.0,1.0,5.0,100.0,0.0,11.0,1.0,131.0,36001.5,1211362.0,2646.0,1261477.0,,,,,,13.0,1.0,1.0,1.0,0.0,0.0,high,"(0.0, 0.0)",Marine 1 Male Root,still,medium,"(10.0, 18.9)",Marine 4 Male Root,waver,high,"(11.3, 10.4)",Marine 3 Male Root,waver,medium,"(14.1, 9.6)",Marine 2 Male Root,waver,high,"(12.4, 5.4)",Civilian 1 Female Root,waver,,,,,,,,,,,,,,,,,,,,,Other,Urban
2024209,0,b5989edc-8348-4b84-b649-87fc4f1cca53,0.316666667,0.366666667,3.666666667,0.533333333,0.461863825,3.0,60.914123102438865,584795.0,658810.0,760294.0,797091.0,,572607.0,584795.0,5.0,6.0,2.0,780351.0,711279.0,-0.45707053106242984,4.0,66.66666666666667,1.0,6.0,0.0,74.0,0.0,609795.0,3332.0,799018.0,,,,,,84.0,1.0,1.0,1.0,0.0,0.0,medium,"(8.1, -26.6)",Open World Civilian 1 Male Root,waver,high,"(10.3, -23.0)",Open World Marine 2 Male Root,still,high,"(0.0, 0.0)",Open World Civilian 2 Female Root,still,low,"(14.8, -27.8)",Open World Marine 1 Female Root,walker,,,,,,,,,,,,,,,,,,,,,,,,,Other,Desert
2024211,0,02d472ac-f6fe-474c-815d-6125fadfcbf7,0.5,0.475,3.333333333,0.634265734,0.267488168,0.0,17.433767233903758,796550.0,925557.0,1001304.0,1098482.0,,789145.0,796550.0,17.0,0.0,5.0,1346328.0,962139.0,-0.3398473198265459,4.0,100.0,0.0,10.0,0.0,145.0,74591.5,904238.0,2946.0,1244082.0,,,,,,59.0,0.0,0.0,0.0,0.0,0.0,high,"(0.4, -6.8)",Navy Soldier 2 Male Root,waver,high,"(-4.2, -0.5)",Navy Soldier 4 Female Root,waver,medium,"(-0.2, 3.6)",Navy Soldier 3 Male Root,waver,high,"(-0.4, -0.3)",Navy Soldier 1 Male Root,still,,,,,,,,,,,,,,,,,,,,,,,,,EM resident,Submarine
2024211,0,5d8d73a3-1898-4f64-8676-73edd1b7daa0,0.5,0.475,3.333333333,0.634265734,0.267488168,0.0,3.9160242906842626,474328.0,568876.0,642814.0,,,444028.0,474328.0,9.0,5.0,1.0,755682.0,463823.0,1.0,4.0,100.0,0.0,6.0,1.0,113.0,39117.0,567261.0,1341.0,753718.0,-99999.0,,,,,44.0,0.0,0.0,1.0,0.0,0.0,high,"(0.8, 1.1)",Open World Marine 4 Male Root,still,medium,"(0.2, -0.8)",Open World Marine 2 Female Root,waver,high,"(0.5, -2.7)",Open World Marine 3 Male Root,waver,,,,,,,,,high,None,Open World Marine 1 Male Root,still,,,,,,,,,,,,,,,,,EM resident,Jungle
2024212,0,2e8f6555-a7fa-4b54-8132-c030d697b4ad,0.55,0.141666667,4.0,0.361538462,0.22255253900000002,12.0,0.0,609264.0,,,,,580288.0,,0.0,12.0,0.0,632164.0,588489.0,,4.0,0.0,0.0,0.0,1.0,17.0,0.0,4726.0,745.0,621571.0,-99999.0,-99999.0,-99999.0,,,40.0,6.0,1.0,1.0,6.0,1.0,high,"(0.0, 0.0)",Open World Marine 4 Male Root,still,,,,,,,,,,,,,,,,,high,None,Open World Marine 1 Male Root,still,medium,None,Open World Marine 2 Female Root,waver,high,None,Open World Marine 3 Male Root,waver,,,,,,,,,Other,Jungle
